A1A6H3	6ILR;6ILS;6ILT;	RBSK At1g17160 F20D23.14 Ribokinase, AtRBSK, RK, EC 2.7.1.15
Q9S7N2	3BWN;3BWO;	TAA1 CKRC1 SAV3 TIR2 WEI8 At1g70560 F24J13.13 F5A18.26 L-tryptophan--pyruvate aminotransferase 1, EC 2.6.1.27, EC 2.6.1.99 (Protein CYTOKININ INDUCED ROOT CURLING 1) (Protein SHADE AVOIDANCE 3) (Protein TRANSPORT INHIBITOR RESPONSE 2) (Protein TRYPTOPHAN AMINOTRANSFERASE OF ARABIDOPSIS 1) (Protein WEAK ETHYLENE INSENSITIVE 8) (Tryptophan transaminase)
Q9S7N7	5L8R;	PSAG At1g55670 F20N2.21 F20N2.33 F20N2_3 Photosystem I reaction center subunit V, chloroplastic (PSI-G)
Q9S7T8	3LE2;	At1g47710 F16N3.3 T2E6.22 Serpin-ZX (ArathZx) (AtSerpin1) (Serpin-1)
Q9S850	1OGP;	SOX MCP At3g01910 F1C9.31 F28J7.38 Sulfite oxidase, EC 1.8.3.1 (Moco-containing protein AtMCP, At-SO, AtSOX)
Q9SAR5	4TUM;5EID;	AKR2A AFT AKR2 At4g35450 F15J1.20 Ankyrin repeat domain-containing protein 2A, AtAKR2
Q9SB61	1WH7;	ZHD1 HB22 MEE68 At4g24660 F22K18.140 Zinc-finger homeodomain protein 2, AtZHD2 (Homeobox protein 22, AtHB-22) (Protein MATERNAL EFFECT EMBRYO ARREST 68)
Q9SB64	6TGN;6TGP;6TGS;	NBR1 At4g24690 F22K18.110 Protein NBR1 homolog, AtNBR1 (At4g24690)
Q9SB92	6RY3;6RYD;6RYI;6RYL;	WUS PGA6 At2g17950 T27K22.18 Protein WUSCHEL, AtWUS (Plant growth activator 6)
Q9SBJ6	3BWD;	ARAC6 RAC2 ROP5 At4g35950 F4B14_220 T19K4.80 Rac-like GTP-binding protein ARAC6 (GTPase protein ROP5)
Q9SCL7	2RD5;4USJ;	NAGK At3g57560 T8H10.160 Acetylglutamate kinase, chloroplastic, EC 2.7.2.8 (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase, AtNAGK)
Q9SCY2	1U79;1Y0O;	FKBP13 FKBP22-1 FKBPK At5g45680 MRA19.7 Peptidyl-prolyl cis-trans isomerase FKBP13, chloroplastic, PPIase FKBP13, EC 5.2.1.8 (FK506-binding protein 1) (FK506-binding protein 13, AtFKBP13) (Immunophilin FKBP13) (Rotamase)
Q9SCZ4	6A5B;6A5E;	FER AAK1 SIR SRN At3g51550 F26O13.190 Receptor-like protein kinase FERONIA, EC 2.7.11.1 (Protein SIRENE)
Q9SE33	2XCM;	RAR1 PBS2 RPR2 At5g51700 MIO24.17 Cysteine and histidine-rich domain-containing protein RAR1 (AtRAR1) (CHORD domain-containing protein RAR1) (Protein PPHB SUSCEPTIBLE 2) (Protein REQUIRED FOR MLA12 RESISTANCE 1)
Q9SE97	6IQJ;	FH1 AFH1 At3g25500 MWL2.16 Formin-like protein 1, AtFH1, AtFORMIN-8
Q9SEI0	6KKS;	WER MYB66 At5g14750 T9L3.50 Transcription factor WER (Myb-related protein 66, AtMYB66) (Protein WEREWOLF)
Q9SEL7	4IC5;	DEGP5 HHOA At4g18370 F28J12.30 Protease Do-like 5, chloroplastic, EC 3.4.21.-
Q9SEU8	7C3F;	TRXM2 At4g03520 F9H3.15 T5L23.1 Thioredoxin M2, chloroplastic, AtTrxm2
Q9SF21	5V5F;	RICE1 At3g11770 F26K24.6 Protein RISC-INTERACTING CLEARING 3'-5' EXORIBONUCLEASE 1, EC 3.1.13.1
Q9SGH6	4HHR;4HHS;	DOX1 DIOX1 PADOX-1 PIOX At3g01420 T13O15.6 Alpha-dioxygenase 1, Alpha DOX1, EC 1.13.11.92 (Fatty acid dioxygenase AlphaDOX1) (Pathogen-induced oxygenase) (Plant alpha dioxygenase 1)
Q9SHE7	1BT0;	RUB1 NEDD8 UBQ15 At1g31340 T19E23.13 Ubiquitin-NEDD8-like protein RUB1 [Cleaved into: Ubiquitin; NEDD8-like protein RUB1 (Ubiquitin-related protein 1, AtRUB1) ]
Q9SHF3	4G0M;	AGO2 At1g31280 T19E23.7 Protein argonaute 2
Q9SI37	2AYD;6J4E;7D11;	WRKY1 ZAP1 At2g04880 F1O13.1 F28I8.34 WRKY transcription factor 1 (Transcription factor ZAP1) (WRKY DNA-binding protein 1) (Zinc-dependent activator protein 1)
Q9SID3	1XM8;2Q42;	At2g31350 T28P16.16 Hydroxyacylglutathione hydrolase 2, mitochondrial, EC 3.1.2.6 (Glyoxalase II, Glx II)
Q9SIE1	5WMH;5WMI;5WMK;5WML;6F5V;	PAT AAT MEE17 At2g22250 T26C19.9 Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase, AtAAT, AtPPA-AT, EC 2.6.1.1, EC 2.6.1.78, EC 2.6.1.79 (Protein MATERNAL EFFECT EMBRYO ARREST 17)
Q9SIT1	7BRC;	TMK3 BLK2 At2g01820 T23K3.1 Receptor-like kinase TMK3, EC 2.7.11.1 (BARK1-like kinase 2) (Leucine-rich repeat receptor-like kinases TMK3) (Transmembrane kinase 3)
Q9SIW2	6OIT;	DRD1 CHR35 DMS1 At2g16390 F16F14.11 Protein CHROMATIN REMODELING 35 (Protein DEFECTIVE IN MERISTEM SILENCING 1) (Protein DEFECTIVE IN RNA-DIRECTED DNA METHYLATION 1)
Q9SIY3	3V85;5A5Y;5A66;5A67;5A68;	TTM3 At2g11890 F23M2.5 Triphosphate tunnel metalloenzyme 3 (Adenosinetriphosphatase, ATPase, EC 3.6.1.-) (Triphosphatase, PPPase, EC 3.6.1.25)
Q9SJE9	7VOJ;7VQ3;7VQ4;7VQ5;7VQ7;	ALMT1 At1g08430 T27G7.11 Aluminum-activated malate transporter 1, AtALMT1
Q9SJI9	6S0P;6S7E;7CHJ;	PCO4 At2g42670 F14N22.6 Plant cysteine oxidase 4, AtPCO4, EC 1.13.11.20
Q9SJQ9	6RNG;6RS1;	FBA6 At2g36460 Fructose-bisphosphate aldolase 6, cytosolic, AtFBA6, EC 4.1.2.13 (Cytosolic aldolase 2, cAld2)
Q9SJT1	6GUM;	SAE2 EMB2764 At2g21470 F3K23.23 SUMO-activating enzyme subunit 2, EC 2.3.2.- (Protein EMBRYO DEFECTIVE 2764) (Ubiquitin-like 1-activating enzyme E1B)
Q9SKB2	6R1H;	SOBIR1 EVR At2g31880 F20M17.8 Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1, EC 2.7.10.1, EC 2.7.11.1 (Protein EVERSHED) (Protein SUPPRESSOR OF BIR1-1)
Q9SKE2	4EPL;5ECH;5ECI;5ECK;5ECL;5ECM;5ECN;5ECO;5ECP;5ECQ;5ECR;5GZZ;	JAR1 FIN219 At2g46370 F11C10.6 Jasmonoyl--L-amino acid synthetase JAR1, EC 6.3.2.52 (Jasmonate-amino acid synthetase JAR1) (Jasmonic acid-amido synthetase JAR1) (Protein FAR-RED INSENSITIVE 219) (Protein JASMONATE RESISTANT 1)
Q9SKP6	4OHQ;	TIM At2g21170 F26H11.7 Triosephosphate isomerase, chloroplastic, TIM, Triose-phosphate isomerase, EC 5.3.1.1
Q9SKR2	7AS6;7ATP;	SYT1 SYTA At2g20990 F26H11.25 F5H14.5 Synaptotagmin-1 (NTMC2T1.1) (Synaptotagmin A)
Q9SL42	1J6Y;	PIN1 At2g18040 T27K22.9 Peptidyl-prolyl cis-trans isomerase Pin1, PPIase Pin1, EC 5.2.1.8 (PIN1At) (Rotamase Pin1)
Q9SMN1	7AQQ;7AR8;7ARB;	GAMMACAL2 At3g48680 T8P19.190 Gamma carbonic anhydrase-like 2, mitochondrial, AtCAL2, GAMMA CAL2
Q9SMT7	5IE0;5IE2;5IE3;	AAE3 4CLL10 AMPBP3 At3g48990 T2J13.170 Oxalate--CoA ligase, EC 6.2.1.8 (4-coumarate--CoA ligase isoform 8, At4CL8) (4-coumarate--CoA ligase-like 10) (Acyl-activating enzyme 3) (Adenosine monophosphate binding protein 3, AtMPBP3) (Oxalyl-CoA synthetase)
Q9SN51	4N0G;	PYL13 RCAR7 At4g18620 F28A21.30 Abscisic acid receptor PYL13 (PYR1-like protein 13) (Regulatory components of ABA receptor 7)
Q9SN68	2EFC;2EFD;2EFE;2EFH;4G01;	RABF2B ARA-7 RAB5B At4g19640 F24J7.190 Ras-related protein RABF2b, AtRABF2b (Ras-related protein Ara-7) (Ras-related protein Rab5B, AtRab5B)
Q9SN73	6EKB;6EKC;	BSD2 At3g47650 F1P2.200 Protein BUNDLE SHEATH DEFECTIVE 2, chloroplastic, AtBSD2
Q9SNB4	5LXU;6QEC;	LUX PCL1 At3g46640 F12A12.160 Transcription factor LUX (Protein LUX ARRHYTHMO) (Protein PHYTOCLOCK 1)
Q9SNC0	7FEO;	MBD5 At3g46580 F12A12.100 Methyl-CpG-binding domain-containing protein 5, AtMBD5, MBD05 (Methyl-CpG-binding protein MBD5)
Q9SP32	2LRS;7ELD;7ELE;	DCL1 ASU1 CAF SIN1 SUS1 At1g01040 T25K16.4 Endoribonuclease Dicer homolog 1, EC 3.1.26.- (Dicer-like protein 1, AtDCL1) (Protein ABNORMAL SUSPENSOR 1) (Protein CARPEL FACTORY) (Protein SHORT INTEGUMENTS 1) (Protein SUSPENSOR 1)
Q9SQR3	4IH4;5HZG;	D14 At3g03990 T11I18.10 Strigolactone esterase D14, EC 3.1.-.- (Protein DWARF 14, AtD14)
Q9SQT8	2GPT;2O7Q;2O7S;6BMB;6BMQ;	EMB3004 At3g06350 F24P17.18 Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic, DHQ-SDH protein (DHQase-SORase) (Protein EMBRYO DEFECTIVE 3004) [Includes: Dehydroquinate dehydratase, DHQ, EC 4.2.1.10; Shikimate dehydrogenase, SDH, EC 1.1.1.25 ]
Q9SR05	5Y96;6A5A;6FIG;	ANX1 At3g04690 F7O18.16 Receptor-like protein kinase ANXUR1, EC 2.7.11.1
Q9SR62	5VJV;5VJW;	RLPH2 At3g09970 T22K18.22 Tyrosine-protein phosphatase RLPH2, EC 3.1.3.48 (Protein RHIZOBIALE-LIKE PHOSPHATASE 2)
Q9SRK5	4KYQ;4KYR;	LSF2 At3g10940 F9F8.24 Phosphoglucan phosphatase LSF2, chloroplastic, EC 3.1.3.- (Phosphoglucan phosphatase like sex Four2) (Protein LIKE SEX4 2)
Q9SS90	6K82;6K83;6K85;6K86;6K87;6K88;6K89;6K8A;6K8B;	RGLG1 At3g01650 F4P13.19 E3 ubiquitin-protein ligase RGLG1, EC 2.3.2.27 (RING domain ligase 1)
Q9SSA5	3RFY;	CYP38 At3g01480 F4P13.3 Peptidyl-prolyl cis-trans isomerase CYP38, chloroplastic, PPIase CYP38, EC 5.2.1.8 (Rotamase CYP38) (Thylakoid lumen PPIase)
Q9SSD1	5XJO;5XJX;5XKJ;	TMM RLP17 At1g80080 F18B13.16 Protein TOO MANY MOUTHS (Receptor-like protein 17, AtRLP17)
Q9SSL9	5GR8;	PEPR1 At1g73080 F3N23.28 Leucine-rich repeat receptor-like protein kinase PEPR1, EC 2.7.11.1 (Elicitor peptide 1 receptor 1, PEP1 receptor 1)
Q9SSM7	3KLX;3OJI;4DS8;4DSB;4DSC;4JDA;5JO1;5JO2;	PYL3 RCAR13 At1g73000 F3N23.20 Abscisic acid receptor PYL3 (PYR1-like protein 3) (Regulatory components of ABA receptor 13)
Q9STE8	5UAY;5UBC;	TOC75-3 TOC75 At3g46740 T6H20.230 Protein TOC75-3, chloroplastic (75 kDa translocon at the outer-envelope-membrane of chloroplasts 3, AtTOC75-III)
Q9STF9	4LEU;	THA8L At3g46870 T6H20.100 Protein THYLAKOID ASSEMBLY 8-like, chloroplastic, AtTHA8L
Q9STG6	2PC5;4OOP;4OOQ;	DUT DUT1 At3g46940 T6H20.30 Deoxyuridine 5'-triphosphate nucleotidohydrolase, dUTPase, EC 3.6.1.23 (dUTP pyrophosphatase) (dUTP-pyrophosphatase-like 1, AtDUT1)
Q9STG9	6LBP;	ASE2 CIA1 DOV1 GPRAT2 PURF2 At4g34740 T4L20.320 Amidophosphoribosyltransferase 2, chloroplastic, AtATase2, AtPURF2, PRPP2, EC 2.4.2.14 (Glutamine phosphoribosylpyrophosphate amidotransferase 2, AtGPRAT2) (Protein CHLOROPLAST IMPORT APPARATUS 1) (Protein DIFFERENTIAL DEVELOPMENT OF VASCULAR ASSOCIATED CELLS)
Q9STM3	6A57;6A58;6A59;6JNL;6JNM;6JNN;	REF6 JMJ12 PKDM9A At3g48430 T29H11_50 Lysine-specific demethylase REF6, EC 1.14.11.- (Jumonji domain-containing protein 12) (Lysine-specific histone demethylase REF6) (Protein RELATIVE OF EARLY FLOWERING 6)
Q9STR4	7DLW;7DLY;	ACS7 At4g26200 T25K17.10 1-aminocyclopropane-1-carboxylate synthase 7, ACC synthase 7, EC 4.4.1.14 (S-adenosyl-L-methionine methylthioadenosine-lyase 7)
Q9STX2	6EL3;	VEP1 AWI31 At4g24220 T22A6.50 3-oxo-Delta(4,5)-steroid 5-beta-reductase, EC 1.3.1.3 (Delta(4)-3-oxosteroid 5-beta-reductase) (Delta-4,5-steroid 5-beta-reductase, At5beta-StR) (Progesterone 5-beta-reductase, 5beta-POR) (Protein VEIN PATTERNING 1)
Q9SU14	4ZB3;4ZBP;	NUDT7 GFG1 NUDX7 At4g12720 T20K18.70 Nudix hydrolase 7, AtNUDT7, EC 3.6.1.- (ADP-ribose pyrophosphatase, EC 3.6.1.13) (NADH pyrophosphatase, EC 3.6.1.22) (Protein GROWTH FACTOR GENE 1)
Q9SU24	5HH7;	ORC1B UNE13 At4g12620 T1P17.210 Origin of replication complex subunit 1B, AtORC1b (Origin recognition complex 1b protein) (Protein UNFERTILIZED EMBRYO SAC 13)
Q9SU56	7A24;	GLDH At3g47930 T17F15.200 L-galactono-1,4-lactone dehydrogenase, mitochondrial, EC 1.3.2.3
Q9SU91	3T57;	LPXA At4g29540 T16L4.50 Probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial, UDP-N-acetylglucosamine acyltransferase, EC 2.3.1.129 (Protein LIPID X A, AtLpxA)
Q9SUM3	5GXU;	ATR2 AR2 At4g30210 F9N11.60 NADPH--cytochrome P450 reductase 2, CPR 2, P450R 2, EC 1.6.2.4
Q9SUQ8	5LAL;	DIR6 At4g23690 F9D16.160 Dirigent protein 6, AtDIR6
Q9SUR9	2JKI;2XCM;	SGT1A At4g23570 F9D16.40 Protein SGT1 homolog A, AtSGT1a (Suppressor of G2 allele of SKP1 homolog A)
Q9SV55	5C6V;	AFPH2 NINJA At4g28910 F25O24.30 AFP homolog 2 (Novel interactor of JAZ)
Q9SV68	5A3J;5A3V;5A4D;	CEQORH At4g13010 F25G13_100 Chloroplast envelope quinone oxidoreductase homolog, ceQORH, EC 1.3.1.-
Q9SV72	2LIY;	EPFL9 STOMAGEN At4g12970 F25G13.60 EPIDERMAL PATTERNING FACTOR-like protein 9, EPF-like protein 9 [Cleaved into: Stomagen ]
Q9SVP6	7CSG;7CSH;	PRR2 PLR2 At4g13660 F18A5.50 Pinoresinol reductase 2, AtPrR2 ((-)-pinoresinol reductase, EC 1.23.1.3) (Pinoresinol-lariciresinol reductase 2, AtPLR2)
Q9SVY5	6J5T;6J5U;6J5V;6J5W;6J6I;	ZRK1 QRX3 RKS1 At3g57710 F15B8.100 Serine/threonine-protein kinase ZRK1, EC 2.7.11.1 (Protein RESISTANCE RELATED KINASE 1) (Quantitative resistance to Xanthomonas campestris pv. campestris 568, Quantitative resistance to Xcc568)
Q9SWE5	1E20;1MVL;1MVN;	HAL3A COAC1 At3g18030 MBG14.2 Phosphopantothenoylcysteine decarboxylase, PPCDC, EC 4.1.1.36 (AtCoaC1) (Halotolerance protein Hal3a, AtHal3a)
Q9SWH5	5KOE;5KOP;5KOR;5KWK;5KX6;	FUT1 FT1 MUR2 At2g03220 T18E12.11 Galactoside 2-alpha-L-fucosyltransferase, EC 2.4.1.- (Xyloglucan alpha-(1,2)-fucosyltransferase, AtFUT1)
Q9SWS1	4O6Y;4O79;4O7G;	CYB561B ACYB-1 CYB-1 CYB561B2 CYBASC2 CYTB561 At5g38630 MBB18.18 Transmembrane ascorbate ferrireductase 2, EC 7.2.1.3 (Cytochrome b561-1, Artb561-2, AtCytb561) (Protein b561A.tha4)
Q9SWW6	1WEO;	CESA7 FRA5 IRX3 At5g17420 T10B6.80 Cellulose synthase A catalytic subunit 7 [UDP-forming], AtCesA7, EC 2.4.1.12 (Protein FRAGILE FIBER 5) (Protein IRREGULAR XYLEM 3, AtIRX3)
Q9SX29	7D34;	CPLS1 CLPT At1g68660 F24J5.10 F24J5.4 ATP-dependent Clp protease adapter protein CLPS1, chloroplastic
Q9SXZ2	1WKP;6IGG;6IGH;6IGI;6IGJ;	FT At1g65480 F5I14.3 Protein FLOWERING LOCUS T
Q9SY97	2O01;	LHCA3 At1g61520 T25B24.12 Photosystem I chlorophyll a/b-binding protein 3-1, chloroplastic, Lhca3*1 (LHCI type III LHCA3)
Q9SYT0	1YCN;2Q4C;	ANN1 ANNAT1 ANX23-ATH ATOXY5 OXY5 At1g35720 F14D7.2 Annexin D1 (AnnAt1) (Annexin A1)
Q9SZC9	5LBD;	PAA1 GIR1 HMA6 At4g33520 F17M5.280 T16L1.10 Copper-transporting ATPase PAA1, chloroplastic, EC 7.2.2.8 (Protein HEAVY METAL ATPASE 6) (Protein glucose insensitive root 1)
Q9SZF7	5B3G;5B3H;	SHR SGR7 At4g37650 F19F18.140 Protein SHORT-ROOT, AtSHR (GRAS family protein 26, AtGRAS-26) (Protein SHOOT GRAVITROPISM 7)
Q9SZU7	3W06;4HRX;4HRY;4HTA;4IH1;4JYM;4JYP;5Z9G;5Z9H;	KAI2 D14L HTL At4g37470 F6G17.120 Probable esterase KAI2 (Protein DWARF-14-like, Protein D14-like) (Protein HYPOSENSITIVE TO LIGHT) (Protein KARRIKIN INSENSITIVE 2)
Q9T0G7	4NJ5;	SUVH9 SDG22 SET22 At4g13460 T6G15.10 Histone-lysine N-methyltransferase family member SUVH9 (Histone H3-K9 methyltransferase 9, H3-K9-HMTase 9) (Protein SET DOMAIN GROUP 22) (Suppressor of variegation 3-9 homolog protein 9, Su(var)3-9 homolog protein 9)
Q9T0I8	2H8G;2QSU;2QTG;2QTT;3LGS;	MTN1 MTAN MTAN1 At4g38800 T9A14.80 5'-methylthioadenosine nucleosidase, MTA nucleosidase, EC 3.2.2.16 (5'-methylthioadenosine nucleosidase 1, AtMTAN1, MTA nucleosidase 1)
Q9XEA1	6JPF;	OSCA1 OSCA1.1 At4g04340 T19B17.6 Protein OSCA1 (CSC1-like protein At4g04340) (Hyperosmolality-gated Ca2+ permeable channel 1.1, AtOSCA1.1) (Protein reduced hyperosmolality-induced [Ca(2+)]i increase 1)
Q9XF23	4NFU;6I8G;6I8H;6Q6Z;	EDS1 Protein EDS1L (Enhanced disease susceptibility 1-like)
Q9XF89	5MDX;7OUI;	LHCB5 At4g10340 F24G24.140 Chlorophyll a-b binding protein CP26, chloroplastic (LHCB5) (LHCIIc) (Light-harvesting complex II protein 5)
Q9XGM3	4C6R;4C6T;	RPS4 At5g45250 K9E15.1 Disease resistance protein RPS4 (Probable NAD(+) hydrolase RPS4, EC 3.2.2.6) (Resistance to Pseudomonas syringae 4) (TIR-NBS-LRR class disease resistance protein)
Q9XI47	4IUP;4IUQ;4IUR;4IUT;4IUU;4IUV;	SHH1 DTF1 At1g15215 F9L1.16 Protein SAWADEE HOMEODOMAIN HOMOLOG 1 (DNA-binding transcription factor 1)
Q9XI90	1WJ2;2LEX;	WRKY4 At1g13960 F16A14.18 F7A19.5 Probable WRKY transcription factor 4 (WRKY DNA-binding protein 4)
Q9XIC7	4Z61;5GQR;6G3W;	SERK2 At1g34210 F23M19.11 Somatic embryogenesis receptor kinase 2, AtSERK2, EC 2.7.11.1 (Somatic embryogenesis receptor-like kinase 2)
Q9XII1	5GTB;	PDV2 PD116 At2g16070 F7H1.9 Plastid division protein PDV2 (Protein PLASTID DIVISION2)
Q9ZNV8	4PAC;	AHP2 ATHP1 At3g29350 MUO10.6 Histidine-containing phosphotransfer protein 2
Q9ZNV9	4EUK;	AHP1 ATHP3 At3g21510 MIL23.8 Histidine-containing phosphotransfer protein 1
Q9ZP54	1V9X;	PARP1 At2g31320 F16D14.16 Poly [ADP-ribose] polymerase 1, PARP-1, EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase 1, ADPRT-1) (Poly[ADP-ribose] synthase 1) (Protein ADP-ribosyltransferase PARP1, EC 2.4.2.-)
Q9ZPI5	2WTB;	MFP2 At3g06860 F17A9.1 Peroxisomal fatty acid beta-oxidation multifunctional protein MFP2, AtMPF2 [Includes: Enoyl-CoA hydratase/3-2-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase, EC 4.2.1.17, EC 5.1.2.3, EC 5.3.3.8; 3-hydroxyacyl-CoA dehydrogenase, EC 1.1.1.35 ]
Q9ZQI7	4FL0;	ALD1 At2g13810 F13J11.16 Aminotransferase ALD1, chloroplastic, EC 2.6.1.- (AGD2-like defense response protein 1)
Q9ZST4	2O66;2O67;2RD5;	GLB1 GLNB1 At4g01900 T7B11.16 Nitrogen regulatory protein P-II homolog (Protein PII-like)
Q9ZSY8	5NQV;	IAA27 PAP2 At4g29080 F19B15.110 Auxin-responsive protein IAA27 (Auxin-induced protein 27) (Indoleacetic acid-induced protein 27) (Phytochrome-associated protein 2)
Q9ZUY6	6H0N;6H0P;	AXS1 At2g27860 F15K20.4 UDP-D-apiose/UDP-D-xylose synthase 1
Q9ZVD0	3AX1;	SE At2g27100 T20P8.15 Serrate RNA effector molecule
Q9ZVN4	1XRI;2Q47;	DSP1 PTP135 At1g05000 T7A14.14 Tyrosine-protein phosphatase DSP1, EC 3.1.3.48 (Protein PLANT AND FUNGI ATYPICAL DUAL-SPECIFICITY PHOSPHATASE 1, AtPFA-DSP1) (Tyrosine-protein phosphatase At1g05000)
Q9ZVQ3	1E6B;	GSTZ1 GST18 GSTZ At2g02390 T16F16.18 Glutathione S-transferase Z1, AtGSTZ1, EC 2.5.1.18 (GST class-zeta member 1) (Glutathione S-transferase 18) (Maleylacetone isomerase, MAI, EC 5.2.1.-)
Q9ZVR7	4Z63;4Z64;	PSKR1 PSKR At2g02220 F5O4.1 Phytosulfokine receptor 1, AtPSKR1, EC 2.7.11.1, EC 4.6.1.2 (Guanylate cyclase) (Phytosulfokine LRR receptor kinase 1) (Protein serine-threonine kinase)
Q9ZWC8	4J0M;	BRL1 At1g55610 F20N2.4 Serine/threonine-protein kinase BRI1-like 1, EC 2.7.11.1 (BRASSINOSTEROID INSENSITIVE 1-like protein 1)
Q9ZWM9	1WID;	RAV1 At1g13260 T6J4.2 AP2/ERF and B3 domain-containing transcription factor RAV1 (Ethylene-responsive transcription factor RAV1) (Protein RELATED TO ABI3/VP1 1)
A3KPE8	5Z9X;5Z9Z;	SDN1 At3g50100 F3A4.180 Small RNA degrading nuclease 1, EC 3.1.-.-
F4KCL7	6HPG;6Q3Q;	OM64 TOC64-V At5g09420 T5E8.220 Outer envelope protein 64, mitochondrial (Mitochondrial outer membrane protein 64, mtOM64) (Translocon at the outer membrane of chloroplasts 64-V, AtTOC64-V)
O05000	7A23;7A24;7AQQ;7AR8;7ARB;	ND2 NAD2 AtMg00285/AtMg01320 NADH-ubiquinone oxidoreductase chain 2, EC 7.1.1.2 (NADH dehydrogenase subunit 2)
O22769	7A23;7A24;7AQR;7AR8;7ARB;	At4g02580 T10P11.14 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial, EC 7.1.1.2
O23116	1WIJ;	EIL3 At1g73730 F25P22.15 ETHYLENE INSENSITIVE 3-like 3 protein
O24520	3ZHW;	AHB1 GLB1 At2g16060 F7H1.8 Non-symbiotic hemoglobin 1 (ARAth GLB1, Hb1)
O48661	6O64;	SPDSYN2 At1g70310 F17O7.16 Spermidine synthase 2, SPDSY 2, EC 2.5.1.16 (Putrescine aminopropyltransferase 2)
O48809	6QXP;	LRX2 At1g62440 F24O1.18 T3P18.1 Leucine-rich repeat extensin-like protein 2, AtLRX2, LRR/EXTENSIN2 (Cell wall hydroxyproline-rich glycoprotein)
O64527	2A13;2Q4N;3EMM;3WJB;3WJC;3WJD;3WJE;3WJF;3WJG;4YMY;7BBM;	At1g79260 YUP8H12R.14 Peroxynitrite isomerase Rv2717c, EC 5.99.-.- (Ferric Arabidopsis thaliana nitrobindin, At-Nb(III))
O64764	6G61;	At2g35010 F19I3.24 Thioredoxin O1, mitochondrial, AtTrxo1
O80763	1V5N;	At1g60420 T13D8.29 Probable nucleoredoxin 1, AtNrx1, EC 1.8.1.8
O81098	7EU0;7EU1;	NRPB5A NRPD5A RPABC24.3 At3g22320 MCB17.4 MCB17_5 DNA-directed RNA polymerases II and IV subunit 5A, RPB5a (DNA-directed RNA polymerase II subunit E) (RNA polymerase I, II and III 24.3 kDa subunit, AtRPB24.3)
O81488	1WE9;	AL4 At5g26210 F9D12.13 T19G15_60 PHD finger protein ALFIN-LIKE 4, Protein AL4
O81826	6M2M;	At4g27230 M4I22.40 Probable histone H2A.3 (HTA2)
O82799	5OS9;	NGA1 At2g46870 F19D11.25 B3 domain-containing transcription factor NGA1 (Protein NGATHA 1)
P10796	5IU0;	RBCS-1B ATS1B At5g38430 MXI10.15 Ribulose bisphosphate carboxylase small subunit 1B, chloroplastic, RuBisCO small subunit 1B
P16972	4ZHO;6B03;6B05;6BRS;	FD2 PETF PETF1 At1g60950 T7P1.9 Ferredoxin-2, chloroplastic, AtFd2
P28147	1QN3;1QN4;1QN5;1QN6;1QN7;1QN8;1QN9;1QNA;1QNB;1QNC;1QNE;1VOK;1VOL;1VTL;1VTO;6NJQ;6UEO;6UEP;6UEQ;6UER;	TBP1 At3g13445 MRP15.10 TATA-box-binding protein 1, AtTBP1 (TATA sequence-binding protein 1, TBP-1) (TATA-binding factor 1) (TATA-box factor 1) (Transcription initiation factor TFIID TBP-1 subunit)
P29388	7A23;	ND5 NAD5 NAD5C AtMg00060/AtMg00513/AtMg00665 NADH-ubiquinone oxidoreductase chain 5, EC 7.1.1.2 (NADH dehydrogenase subunit 5)
P34047	2F1D;	HISN5A At3g22425 MCB17.17 Imidazoleglycerol-phosphate dehydratase 1, chloroplastic, IGPD 1, EC 4.2.1.19 (Protein HISTIDINE BIOSYNTHESIS 5A)
P39697	6XYW;	RPS19 At5g47320 MQL5.18 40S ribosomal protein S19, mitochondrial
P49077	6YPO;6YS6;6YSP;6YVB;6YW9;6YWJ;6YY1;	PYRB At3g20330 MQC12.7 Aspartate carbamoyltransferase, chloroplastic, EC 2.1.3.2 (Aspartate transcarbamylase, ATCase)
P56777	5MDX;7OUI;	psbB AtCg00680 Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47)
P60497	7A23;7A24;	ND6 NAD6 AtMg00270 NADH-ubiquinone oxidoreductase chain 6, EC 7.1.1.2 (NADH dehydrogenase subunit 6)
P92533	7A23;7A24;7AQQ;7AR8;7ARB;	ND3 NAD3 AtMg00990 NADH-ubiquinone oxidoreductase chain 3, EC 7.1.1.2 (NADH dehydrogenase subunit 3)
P93306	7A23;7A24;	NAD7 AtMg00510 NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, EC 7.1.1.2 (NADH dehydrogenase subunit 7)
P93313	7A23;	ND4 NAD4 AtMg00580 NADH-ubiquinone oxidoreductase chain 4, EC 7.1.1.2 (NADH dehydrogenase subunit 4)
